term,pidm,crn,majdesc,days,Stud.ID
201909,179792,20443,Adolescence Educ:French, T R,1
201909,179792,20502,Adolescence Educ:French, ,1
201909,327121,20502,Not in a Program, ,2
201909,350559,20490,Childhood/Special Education,M W,3
201909,350559,15719,Childhood/Special Education, T R,3
201909,350559,20520,Childhood/Special Education,  F,3
201909,350559,20466,Childhood/Special Education,M W,3
201909,350559,14376,Childhood/Special Education, T,3
201909,350559,12405,Childhood/Special Education,  R,3
201909,365816,20502,Not in a Program, ,4
201909,385169,20502,Not in a Program, ,5
201909,412698,19497,Biology,M W F,6
201909,412698,16618,Biology,M,6
201909,412698,16894,Biology, T R,6
201909,412698,20145,Biology, T R,6
201909,412698,12113,Biology,M W,6
201909,412708,12153,Accounting, T R,7
201909,412708,16266,Accounting,M W F,7
201909,412708,16090,Accounting, T R,7
201909,412708,17502,Accounting, T R,7
201909,454376,20000,Political Science, T R,8
201909,454376,19414,Political Science, T R,8
201909,454376,20011,Political Science,M W,8
201909,454376,13494,Political Science,M W,8
201909,454376,17811,Political Science,  W F,8
201909,461660,18570,Reading & Literacy B-12, T,9
201909,461660,20493,Reading & Literacy B-12, ,9
201909,518254,12759,Accounting,M W,10
201909,518254,20484,Accounting,M W,10
201909,518254,18737,Accounting, T R,10
201909,518254,12124,Accounting, T R,10
201909,625401,12584,Not in a Program, T R,12
201909,626092,20449,Economics, T R,13
201909,626092,12739,Economics, T R,13
201909,626092,17360,Economics,M W,13
201909,653933,16674,Childhood/Special Education,M W,14
201909,653933,18132,Childhood/Special Education, T R,14
201909,653933,18677,Childhood/Special Education, T R,14
201909,670923,19573,Communication, T R,15
201909,670923,20086,Communication, T,15
201909,670923,13608,Communication, T R,15
201909,670923,12600,Communication,  W F,15
201909,670923,17454,Communication,M W F,15
201909,670923,17458,Communication,  W,15
201909,681580,19988,English, T R,16
201909,681580,16894,English, T R,16
201909,681580,18670,English,  F,16
201909,681580,16647,English,  R,16
201909,681580,16631,English, T R,16
201909,695457,20502,Not in a Program, ,17
201909,703941,18570,Reading & Literacy B-12, T,18
201909,708268,20107,Childhood/Special Education,M W F,19
201909,708268,20422,Childhood/Special Education, T R,19
201909,708268,17741,Childhood/Special Education, T R,19
201909,708268,12900,Childhood/Special Education,M W,19
201909,708950,18570,Reading & Literacy B-12, T,20
201909,717746,18746,Accounting, T R,21
201909,717746,18751,Accounting,M W,21
201909,717746,18976,Accounting,M W,21
201909,717746,12152,Accounting,M W,21
201909,718352,18157,Reading & Literacy B-12,  W,22
201909,718352,20078,Reading & Literacy B-12, T,22
201909,723066,18160,Reading & Literacy B-12,M,23
201909,728781,19349,Psychology, T R,24
201909,728781,19350,Psychology, T R,24
201909,728781,18990,Psychology, T R,24
201909,728781,20385,Psychology, T R,24
201909,742113,12822,Psychology,M W,26
201909,742113,20481,Psychology, T R,26
201909,742113,12965,Psychology,M W F,26
201909,742113,16282,Psychology,M W F,26
201909,753510,19136,History, T,27
201909,760220,18153,Reading & Literacy B-12, ,28
201909,760220,18923,Reading & Literacy B-12,  W,28
201909,766010,18522,Art History, T R,29
201909,766010,20001,Art History,  W,29
201909,766010,20513,Art History, T R,29
201909,766010,18957,Art History,M W F,29
201909,772665,12413,Communication, T R,30
201909,772665,16582,Communication,M W F,30
201909,772665,19573,Communication, T R,30
201909,772665,20532,Communication, ,30
201909,774013,12742,History,M W F,31
201909,774013,18574,History, T R,31
201909,774013,18742,History, T R,31
201909,774013,12850,History, T,31
